case_id,B,K,M,N,dependency_count,node_id,output_elements,real_macs
hs_n20,1,2,1,2,0,contract_64,2,16
hs_n20,1,2,1,2,0,contract_65,2,16
hs_n20,1,2,2,8,0,contract_66,16,128
hs_n20,1,2,1,8,2,contract_67,8,64
hs_n20,1,2,2,2,0,contract_68,4,32
hs_n20,1,2,2,2,0,contract_69,4,32
hs_n20,1,2,2,8,0,contract_70,16,128
hs_n20,1,2,2,2,0,contract_71,4,32
hs_n20,1,2,1,2,0,contract_72,2,16
hs_n20,1,2,1,2,0,contract_73,2,16
hs_n20,1,2,2,8,0,contract_74,16,128
hs_n20,1,2,1,8,2,contract_75,8,64
hs_n20,1,2,2,2,0,contract_76,4,32
hs_n20,1,2,2,2,0,contract_77,4,32
hs_n20,1,2,2,8,0,contract_78,16,128
hs_n20,1,2,2,2,0,contract_79,4,32
hs_n20,1,2,2,1,1,contract_80,2,16
hs_n20,1,2,4,1,2,contract_81,4,32
hs_n20,1,2,8,2,2,contract_82,16,128
hs_n20,1,2,2,1,1,contract_83,2,16
hs_n20,1,2,4,1,2,contract_84,4,32
hs_n20,1,2,8,2,2,contract_85,16,128
hs_n20,1,2,2,1,1,contract_86,2,16
hs_n20,1,2,4,1,2,contract_87,4,32
hs_n20,1,2,8,2,2,contract_88,16,128
hs_n20,1,2,2,1,1,contract_89,2,16
hs_n20,1,2,4,1,2,contract_90,4,32
hs_n20,1,2,8,2,2,contract_91,16,128
hs_n20,1,2,2,1,1,contract_92,2,16
hs_n20,1,2,4,1,2,contract_93,4,32
hs_n20,1,2,8,2,2,contract_94,16,128
hs_n20,1,2,2,1,1,contract_95,2,16
hs_n20,1,2,4,1,2,contract_96,4,32
hs_n20,1,2,8,2,2,contract_97,16,128
hs_n20,1,2,2,1,1,contract_98,2,16
hs_n20,1,2,4,1,2,contract_99,4,32
hs_n20,1,2,8,2,2,contract_100,16,128
hs_n20,1,2,2,1,1,contract_101,2,16
hs_n20,1,2,4,1,2,contract_102,4,32
hs_n20,1,2,8,2,2,contract_103,16,128
hs_n20,1,2,2,1,1,contract_104,2,16
hs_n20,1,2,4,1,2,contract_105,4,32
hs_n20,1,2,8,2,2,contract_106,16,128
hs_n20,1,2,2,1,1,contract_107,2,16
hs_n20,1,2,4,1,2,contract_108,4,32
hs_n20,1,2,8,2,2,contract_109,16,128
hs_n20,1,2,2,2,2,contract_110,4,32
hs_n20,1,2,2,8,1,contract_111,16,128
hs_n20,1,2,2,2,2,contract_112,4,32
hs_n20,1,2,2,8,1,contract_113,16,128
hs_n20,1,2,2,2,2,contract_114,4,32
hs_n20,1,2,2,8,1,contract_115,16,128
hs_n20,1,2,2,2,2,contract_116,4,32
hs_n20,1,2,2,8,1,contract_117,16,128
