case_id,B,K,M,N,dependency_count,node_id,output_elements,real_macs,input_source_id,source_row
bb84_n26,1,1,2,2,2,contract_36,4,16,final_contractions,269
bb84_n26,1,1,2,2,2,contract_37,4,16,final_contractions,270
bb84_n26,1,1,4,4,2,contract_38,16,64,final_contractions,271
bb84_n26,1,1,4,4,2,contract_39,16,64,final_contractions,272
bb84_n26,1,1,4,4,2,contract_40,16,64,final_contractions,273
bb84_n26,1,1,4,4,2,contract_41,16,64,final_contractions,274
bb84_n26,1,1,4,4,2,contract_42,16,64,final_contractions,275
bb84_n26,1,1,4,4,2,contract_43,16,64,final_contractions,276
bb84_n26,1,1,4,16,2,contract_44,64,256,final_contractions,277
bb84_n26,1,1,16,16,2,contract_45,256,1024,final_contractions,278
bb84_n26,1,1,16,16,2,contract_46,256,1024,final_contractions,279
bb84_n26,1,1,16,64,2,contract_47,1024,4096,final_contractions,280
bb84_n26,1,1,256,256,2,contract_48,65536,262144,final_contractions,281
bb84_n26,1,1,1024,65536,2,contract_49,67108864,268435456,final_contractions,282
bv_n08,1,2,1,2,0,contract_0,2,16,final_contractions,283
bv_n08,1,2,1,2,0,contract_1,2,16,final_contractions,284
bv_n08,1,2,8,1,1,contract_2,8,64,final_contractions,285
bv_n08,1,2,1,2,0,contract_3,2,16,final_contractions,286
bv_n08,1,2,1,2,0,contract_4,2,16,final_contractions,287
bv_n08,1,2,8,1,1,contract_5,8,64,final_contractions,288
bv_n08,1,2,1,2,0,contract_6,2,16,final_contractions,289
bv_n08,1,2,1,2,0,contract_7,2,16,final_contractions,290
bv_n08,1,2,8,1,1,contract_8,8,64,final_contractions,291
bv_n08,1,2,1,2,0,contract_9,2,16,final_contractions,292
bv_n08,1,2,1,2,0,contract_10,2,16,final_contractions,293
bv_n08,1,2,8,1,1,contract_11,8,64,final_contractions,294
bv_n08,1,2,2,1,1,contract_12,2,16,final_contractions,295
bv_n08,1,2,4,1,2,contract_13,4,32,final_contractions,296
bv_n08,1,2,2,1,1,contract_14,2,16,final_contractions,297
