cell_id,case_id,phase,backend,arm_id,role,planned_slots,issued_slots,success_count,unsupported_count,timeout_count,failure_count,complete,quality_qualified
cell-36bdafe3cf20080652efe1c0112ba180558ae65c9dc10ed38d8d4f68763481b5,qrng_n18,calibration,upmem,17efa4701a2575a143430a077acd661f07698cd149f7bb987262cfeee98b8253,calibration,6,6,6,0,0,0,True,False
cell-36c8fd4afc7e4fcdcdf08895b63bbfd236e87b16ed5ae8d65d80bba739eb4356,qrng_n18,calibration,upmem,7f1d4a33ef36c6275faf29ecea97c8f4794e54748f6e4607e72c16cf07990c4f,calibration,6,6,6,0,0,0,True,False
cell-37afb89a81a4a33c7dfb15a56cd7251527eed1cf68194c2af96b958eb8f69310,bv_n18,calibration,upmem,31267b1192f6bcfe73c728283c5361e8c403cf0d03d4bc0d1a81e912c3542b70,calibration,6,6,6,0,0,0,True,False
cell-38accdca86baa5b4f95d04d80769333aa352eae0ddb7e9b6708b5582be9f8b4d,bv_n18,calibration,upmem,f0578c4cb34d075bc450005b78009a895e11fe787101d8d370a5f3531ced7052,calibration,6,6,6,0,0,0,True,False
cell-38f6656953da69416895100d9ebbff1f7378d13005379c1af8d655b068fc17bf,bb84_n18,calibration,upmem,e94f6abc36679c33ec1ed34f6197413e8397711c8c952dc520ebac2214f9ff3a,calibration,6,6,6,0,0,0,True,False
cell-390fa7d6b9be20a490ed091d8e1ab35913b9aea0388eca2415116f6b348bc6d9,bv_n18,calibration,upmem,8f264bbaceb3844a8c64d6553fc1e34155c39e3e1d2d50e7623a5167b050e5bf,calibration,6,6,6,0,0,0,True,False
cell-39aaa6746aeb78e5659df04d9f4447872b59467028d9f4536469066316407f1c,stress_n18_l2,calibration,upmem,8880c53b3a27d74ecc95016a53311eb9d495eecb2968a9189fc6e0d7019acba0,calibration,6,6,6,0,0,0,True,False
cell-3cb46ae80fdcdd4d84dee60087ccc85073f7c0e667a2264fb502e2abfc11d127,hs_n18,calibration,upmem,61fb5254f03558c44f72d70c7e3bd0b449e30cc4b75fdeec49262f5580b6c5fe,calibration,6,6,6,0,0,0,True,False
cell-3e3caf145c10f8352b728600b1501ceb0ce6d3cfe0f69bbdac2b0ce8d499f771,ghz_n18,calibration,upmem,9a6d965782f0731bef50d9ee08d96e87c4a18f101ffdd4cc95238780f6c8e2ca,calibration,6,6,6,0,0,0,True,False
cell-3e51cfb3e1f72db850747c1313cf9e53f51a7d319f70d6370eddf641cabf1c71,bb84_n18,calibration,upmem,13dfb0a64a7fe1ecb0cd2af6647a7c147ba7218cfc037024ab082b5f42ffbfbe,calibration,8,8,8,0,0,0,True,False
cell-3fa3987d0c49373e092dad40f0113a2674e791372b12a942925d9cd1594dbd9b,bv_n18,calibration,upmem,7f1d4a33ef36c6275faf29ecea97c8f4794e54748f6e4607e72c16cf07990c4f,calibration,6,6,6,0,0,0,True,False
cell-40197b961b22ab99e9a2cc528636e7412f68fb7ba620a55c5211547636731274,stress_n16_l2,calibration,upmem,86f9df65db57e6eb4df0dcaf1dc9f1245f0cb441d05199cbf652ea45b9f2cd43,calibration,6,6,6,0,0,0,True,False
cell-408fb591720c4f40a85f869de89a5eb15005fd55abf339fe3c91faa7c20ee017,ghz_n18,calibration,upmem,c8d83617187702ca6bdf030b2c3ee00db58f0d28a8d536059f9c54097e067190,calibration,6,6,6,0,0,0,True,False
cell-40d3d07e707ada7579034721b24f858fa3503cbc410d2cedc5a6506af7a15ee8,ghz_n18,calibration,upmem,5a76deaf2578d66a1ed475a0625c79ecc46b434a603602a26254e6c5fdee642e,calibration,6,6,6,0,0,0,True,False
cell-419cbac8b2c4692cf7447bc547334f5889f48b2d324ac69d021fd0cb0915c9d9,hs_n18,calibration,upmem,27b62e57038c9a28dce9f5844c37556b2808dc892f3a5401afe82eba05fa54ed,calibration,6,6,6,0,0,0,True,False
cell-41a80064f42c608781d7a9f5e22255e489b7915bf59c559422ad7437423c116c,bb84_n18,calibration,upmem,304a8dfac62b65c63a65cc648c99e36178312daebe5c835400ae9691934d9eb5,calibration,6,6,6,0,0,0,True,False
cell-41d0160c90f4b398c9f714b29aebac0ec7cae76ca1fb939ae993068d0e9d58b5,bv_n18,calibration,upmem,13dfb0a64a7fe1ecb0cd2af6647a7c147ba7218cfc037024ab082b5f42ffbfbe,calibration,8,8,8,0,0,0,True,False
cell-41eb596e5ad2a6b9234d3599b296aee791d48af63113a449c789746dd316243e,hs_n18,calibration,upmem,2b8e4a9cc20bd089c1aa3301ef04b0d6323d92429ecfb0225019eb4ebb909369,calibration,6,6,6,0,0,0,True,False
cell-41f13a45d5993229bac5ab553d0bfdbfcdb134ad08781875447ce1f73f3f6c79,stress_n16_l2,calibration,upmem,ed55ae94291f75623a56779f9a3ea0161394ca36f2fc4b2d975880ef9d9115ad,calibration,6,6,6,0,0,0,True,False
cell-4238d7189dbd0645690d481e70b5d8fc6247571d652e779a8ea569221f399c89,xor_n18,calibration,upmem,26d383578cf3bdc75d6e47da6e0024efb05ac8a55653eda872e3df3a1ac2cbba,calibration,6,6,6,0,0,0,True,False
