view,case_id,point,cell_id,median_prepared_call_s,raw_mad,count
T,xor_n18,T1,cell-6a9c328154bc9e3c984c1946792d02b6e007a6be06059c86510817482a22c06f,10.863929505983833,0.06782903097337112,5
T,xor_n18,T2,cell-4a740177b0fb0309abecf9c9df81ab3e311fb73ea6359b413b9b1804a648a451,6.812812752032187,0.02880568994442001,5
T,xor_n18,T3,cell-6a16e35935c1e8b01a231deab5bea34485526224f5815230a5ccc6d42e1d46d0,6.445565233996604,0.01478616800159216,5
T,xor_n18,T4,cell-4efe1b23780fbc2cd65265391c0d2a01ebc8421854d216b31d83d810a0a01e80,4.845697055978235,0.07910856802482158,5
T,xor_n18,T5,cell-8d0a92d660082ccac5e04d8c3c52c000e73624ea4376a1087f2398962de3e361,4.915112113987561,0.01068777299951762,5
T,xor_n18,T6,cell-b2e8823b6fe1e501f2ec4c0413756af518ca92277967d89a739090ba0297c536,4.88093053502962,0.012363788962829858,5
T,xor_n18,T7,cell-fc591b7ecdc0f1dd2442944ade23d08fc0eba0ba2f65f3d75e1d00a5b4b4d53b,4.872147777990904,0.1032367620500736,5
T,xor_n18,T8,cell-57b91334c09cf298ac73ed7ece2d55923e9667f477da5bc8ec045b7d5e9ce989,4.578547260025516,0.02113941597053781,5
T,xor_n18,T9,cell-7d5b840e2538cf652f904274897b4a0ce866cfe39c49f63ae1f4ec0954a6c7ff,4.629722672980279,0.0447320100502111,5
T,xor_n18,T10,cell-6cf996268c566df660fb0566c033d0564e0008fea07bf9d77f7ea130de99649c,4.513964191020932,0.17616813897620887,5
T,xor_n18,T11,cell-2d6bc5bff719149330254b0203d97cd038a083f171eca87cb0ed8bb9e7340594,4.465910256956704,0.14507790404604748,5
T,xor_n18,T12,cell-677c469af47cb615cf1d571954340be9a23375169f0b1cd46bf1e31ea198654d,4.566813836048823,0.018416286970023066,5
T,xor_n18,T13,cell-174e6da86e3e9c6b6aa429b9980b394d1565312f4b0528300b760b7e37eaddb8,4.592989800963551,0.050430129980668426,5
T,xor_n18,T14,cell-f302781fdf4571abec6df36bfb82f589b4a03b8e1c4ad258fb62edab35058a5b,4.6303330779774114,0.08435412897961214,5
T,xor_n18,T15,cell-48da389e9173532c2076b1f2046130fc25bdcd714c4b3cf0def21c705549a84e,4.618352425983176,0.0735751959728077,5
T,xor_n18,T16,cell-b2387aab2db08137cebaa2f5e6e544e21cfc982fa894676c0621b37db3bd6aae,4.607764435000718,0.0719567850464955,5
T,xor_n18,T17,cell-ab7d2d1228d00fa58d440ef794f3894ce54b16275a500c93941f0502e3620a70,4.673714584961999,0.038005833979696035,5
T,xor_n18,T18,cell-6d76caa9ea4f3bd37416736ea2a9028fbff55092e23fe5504cb612fcbbf39d02,4.407273427990731,0.01328097196528688,5
T,xor_n18,T19,cell-2b39e78fad3e00ccec804df40855b1b9b1fddbbddf8c7902040a30e1fe297fbc,4.63758321700152,0.06967956101289019,5
T,xor_n18,T20,cell-47f864c98fd048d1e8956940db4ef5e388733ac1baca805b96f1eb9ea2524bd0,4.67856428300729,0.04763085301965475,5
