case_id,family,cohort,role,view,blocks,selection_family,binding
qrng_n20,qrng,primary,upmem_int8,W,"[0,1,2,3,4,5]",qrng,after_selection_and_R_seal
qrng_n20,qrng,primary,quest32_p8,W,"[0,1,2,3,4,5]",qrng,after_selection_and_R_seal
qrng_n20,qrng,primary,quest32_p1,W,"[0,1,2,3,4,5]",qrng,after_selection_and_R_seal
qrng_n20,qrng,primary,numpy_f32_p1,W,"[0,1,2,3,4,5]",qrng,after_selection_and_R_seal
qrng_n22,qrng,primary,upmem_f32,W,"[0,1,2,3,4,5]",qrng,after_selection_and_R_seal
qrng_n22,qrng,primary,upmem_int8,W,"[0,1,2,3,4,5]",qrng,after_selection_and_R_seal
qrng_n22,qrng,primary,quest32_p8,W,"[0,1,2,3,4,5]",qrng,after_selection_and_R_seal
qrng_n22,qrng,primary,quest32_p1,W,"[0,1,2,3,4,5]",qrng,after_selection_and_R_seal
qrng_n22,qrng,primary,numpy_f32_p1,W,"[0,1,2,3,4,5]",qrng,after_selection_and_R_seal
qrng_n24,qrng,primary,upmem_f32,W,"[0,1,2,3,4,5]",qrng,after_selection_and_R_seal
qrng_n24,qrng,primary,upmem_int8,W,"[0,1,2,3,4,5]",qrng,after_selection_and_R_seal
qrng_n24,qrng,primary,quest32_p8,W,"[0,1,2,3,4,5]",qrng,after_selection_and_R_seal
qrng_n24,qrng,primary,quest32_p1,W,"[0,1,2,3,4,5]",qrng,after_selection_and_R_seal
qrng_n24,qrng,primary,numpy_f32_p1,W,"[0,1,2,3,4,5]",qrng,after_selection_and_R_seal
qrng_n26,qrng,primary,upmem_f32,W,"[0,1,2,3,4,5]",qrng,after_selection_and_R_seal
qrng_n26,qrng,primary,upmem_int8,W,"[0,1,2,3,4,5]",qrng,after_selection_and_R_seal
qrng_n26,qrng,primary,quest32_p8,W,"[0,1,2,3,4,5]",qrng,after_selection_and_R_seal
qrng_n26,qrng,primary,quest32_p1,W,"[0,1,2,3,4,5]",qrng,after_selection_and_R_seal
qrng_n26,qrng,primary,numpy_f32_p1,W,"[0,1,2,3,4,5]",qrng,after_selection_and_R_seal
stress_n08_l2,stress,supplementary,upmem_f32,S,"[0,1,2,3,4,5]",stress,after_selection_and_R_seal
stress_n08_l2,stress,supplementary,upmem_int8,S,"[0,1,2,3,4,5]",stress,after_selection_and_R_seal
stress_n08_l2,stress,supplementary,quest32_p8,S,"[0,1,2,3,4,5]",stress,after_selection_and_R_seal
stress_n08_l2,stress,supplementary,quest32_p1,S,"[0,1,2,3,4,5]",stress,after_selection_and_R_seal
stress_n08_l2,stress,supplementary,numpy_f32_p1,S,"[0,1,2,3,4,5]",stress,after_selection_and_R_seal
stress_n12_l2,stress,supplementary,upmem_f32,S,"[0,1,2,3,4,5]",stress,after_selection_and_R_seal
stress_n12_l2,stress,supplementary,upmem_int8,S,"[0,1,2,3,4,5]",stress,after_selection_and_R_seal
stress_n12_l2,stress,supplementary,quest32_p8,S,"[0,1,2,3,4,5]",stress,after_selection_and_R_seal
stress_n12_l2,stress,supplementary,quest32_p1,S,"[0,1,2,3,4,5]",stress,after_selection_and_R_seal
stress_n12_l2,stress,supplementary,numpy_f32_p1,S,"[0,1,2,3,4,5]",stress,after_selection_and_R_seal
stress_n16_l2,stress,supplementary,upmem_f32,S,"[0,1,2,3,4,5]",stress,after_selection_and_R_seal
stress_n16_l2,stress,supplementary,upmem_int8,S,"[0,1,2,3,4,5]",stress,after_selection_and_R_seal
stress_n16_l2,stress,supplementary,quest32_p8,S,"[0,1,2,3,4,5]",stress,after_selection_and_R_seal
stress_n16_l2,stress,supplementary,quest32_p1,S,"[0,1,2,3,4,5]",stress,after_selection_and_R_seal
stress_n16_l2,stress,supplementary,numpy_f32_p1,S,"[0,1,2,3,4,5]",stress,after_selection_and_R_seal
